iter	RMSE
0	1.197284469
1	1.135349451
2	1.076852771
3	1.023104846
4	0.9725981368
5	0.9243210435
6	0.8801371587
7	0.8401562348
8	0.8018928807
9	0.7658249769
10	0.7320978968
11	0.7007438476
12	0.6724458117
13	0.6454229834
14	0.6207161981
15	0.598388584
16	0.5768472116
17	0.5562403601
18	0.5380178244
19	0.5216546273
20	0.5070334438
21	0.4921855738
22	0.4796687401
23	0.4667408929
24	0.4552318318
25	0.4446295663
26	0.4346782945
27	0.4255552503
28	0.417482904
29	0.4100198037
30	0.4031338085
31	0.3963619816
32	0.3906000385
33	0.3850823287
34	0.3798714076
35	0.3756417058
36	0.3707428476
37	0.3667392785
38	0.3626582536
39	0.3593162471
40	0.3558759756
41	0.3528692535
42	0.3500880478
43	0.3474526008
44	0.3447223957
45	0.3425789411
46	0.3399984685
47	0.3379627612
48	0.3361631601
49	0.3345336721
50	0.3326504334
51	0.3310049979
52	0.3293729301
53	0.3276819004
54	0.3262203288
55	0.3247069866
56	0.3235375546
57	0.3225023558
58	0.3215942662
59	0.3204259448
60	0.3194825605
61	0.3186443173
62	0.3178841099
63	0.3170664312
64	0.3162709081
65	0.315645783
66	0.3151723407
67	0.314699059
68	0.3140948476
69	0.3136410423
70	0.3132121355
71	0.3123872151
72	0.311802043
73	0.3113117868
74	0.3108627454
75	0.3105230739
76	0.3098525854
77	0.3088717149
78	0.3083288488
79	0.3080147178
80	0.3073417027
81	0.3070511353
82	0.306337189
83	0.3052711635
84	0.3042592554
85	0.3038965293
86	0.3030653142
87	0.302033538
88	0.301451117
89	0.3004827246
90	0.3001968615
91	0.2998460683
92	0.2987379451
93	0.2977085304
94	0.2973197157
95	0.2966652835
96	0.2961305423
97	0.2949352966
98	0.2943168987
99	0.2938443047
100	0.2929906857
101	0.2924881242
102	0.2920496086
103	0.2918424568
104	0.290821598
105	0.2903522917
106	0.290199033
107	0.2899248966
108	0.2885601518
109	0.2876757069
110	0.287279085
111	0.286808872
112	0.2864522531
113	0.2858839455
114	0.2856632974
115	0.2848845105
116	0.2839816789
117	0.2837532476
118	0.2829333173
119	0.2821302093
120	0.2816856504
121	0.2814073154
122	0.2811785441
123	0.2806682767
124	0.2803274104
125	0.2801575693
126	0.2799436779
127	0.2790475343
128	0.2786870355
129	0.278525549
130	0.2779610537
131	0.2776951019
132	0.277515964
133	0.2772243478
134	0.2767524005
135	0.2763083263
136	0.2750269447
137	0.274633435
138	0.2744775569
139	0.2741230408
140	0.273364948
141	0.2729822387
142	0.2721335262
143	0.2719731515
144	0.2715703241
145	0.2711181107
146	0.2706751398
147	0.2704547035
148	0.269952744
149	0.2695293219
150	0.2690438152
151	0.2681950029
152	0.2675827033
153	0.2670136871
154	0.2664017853
155	0.2661895232
156	0.2656432432
157	0.2651707965
158	0.2647939761
159	0.2643442114
160	0.2636527404
161	0.2634266001
162	0.2630460938
163	0.2629074816
164	0.2625677379
165	0.2614492173
166	0.2608200916
167	0.2604267018
168	0.2600410833
169	0.2590740116
170	0.2585056877
171	0.2582430376
172	0.2574713645
173	0.2568938584
174	0.2564568844
175	0.2561383468
176	0.2555728709
177	0.2553332083
178	0.2549237586
179	0.2546233004
180	0.254385874
181	0.2540994561
182	0.2539080516
183	0.2537272511
184	0.2528990905
185	0.2525406619
186	0.2524038441
187	0.2520143491
188	0.2515436362
189	0.2513253279
190	0.2509673506
191	0.2506381798
192	0.2503214297
193	0.2491258115
194	0.2489691721
195	0.2479066979
196	0.2474609811
197	0.2471073253
198	0.2470096215
199	0.2464333945
200	0.2461045829
201	0.2457179328
202	0.2455802993
203	0.2453638646
204	0.2447556813
205	0.2444083716
206	0.2440756381
207	0.2437686294
208	0.2435009534
209	0.2430501747
210	0.2429043136
211	0.2425780332
212	0.2416061273
213	0.2412967912
214	0.241008996
215	0.2407198935
216	0.2405051494
217	0.2399892181
218	0.2397411847
219	0.2395099442
220	0.2390183638
221	0.2381198371
222	0.237775175
223	0.23744473
224	0.2369624717
225	0.2367460238
226	0.2365647887
227	0.2362619519
228	0.2359897476
229	0.2357221372
230	0.2354613061
231	0.2346231801
232	0.233656656
233	0.2334357108
234	0.2331956288
235	0.2329221464
236	0.2327059616
237	0.2325420095
238	0.23230745
239	0.232151222
240	0.2319452755
241	0.2311202933
242	0.2309830462
243	0.2307902765
244	0.2306967297
245	0.2304475431
246	0.2297038572
247	0.228828493
248	0.2284519506
249	0.2274357156
250	0.2266690487
251	0.2264844484
252	0.226132371
253	0.225563884
254	0.2251692381
255	0.2248573171
256	0.2245726601
257	0.2242121926
258	0.2238263085
259	0.2236075343
260	0.2234302533
261	0.223106189
262	0.2226228437
263	0.2223991144
264	0.2223006449
265	0.2220224324
266	0.2217462596
267	0.2215378118
268	0.2212859823
269	0.2210814848
270	0.2208288833
271	0.2205934094
272	0.220439247
273	0.2197110855
274	0.2194616652
275	0.2191870828
276	0.2190471848
277	0.2186301827
278	0.2185449088
279	0.2178784411
280	0.2174057056
281	0.2172158075
282	0.2167648069
283	0.2163382419
284	0.2159250437
285	0.215400586
286	0.2152733861
287	0.2151109634
288	0.2149290233
289	0.2147134798
290	0.2145217824
291	0.2141498831
292	0.2137909142
293	0.2136068642
294	0.2132540794
295	0.2130415468
296	0.2129046466
297	0.2120968475
298	0.2118667459
299	0.2115663185
300	0.2113745262
301	0.2111475131
302	0.2108797045
303	0.210755082
304	0.2104326166
305	0.2103031965
306	0.2097703592
307	0.2095307991
308	0.2094095001
309	0.2092518558
310	0.208650939
311	0.2079904942
312	0.2078136186
313	0.2076039166
314	0.2074590694
315	0.2071220296
316	0.2069521819
317	0.2068420402
318	0.2067391396
319	0.2065145745
320	0.2056809803
321	0.2050141565
322	0.2048192143
323	0.2041609775
324	0.2038922726
325	0.2037376078
326	0.2036040353
327	0.2035578569
328	0.2028873553
329	0.2027529377
330	0.2022855255
331	0.2017442799
332	0.2015177986
333	0.2011047692
334	0.20064914
335	0.2003411999
336	0.200053467
337	0.1998499257
338	0.1997153625
339	0.1993656866
340	0.1991574855
341	0.1990211613
342	0.198895187
343	0.198735964
344	0.1986098484
345	0.1980548717
346	0.1979045731
347	0.1974454439
348	0.1973169349
349	0.1969328405
350	0.1963020417
351	0.195829562
352	0.1954822007
353	0.1951589087
354	0.1949728401
355	0.194685874
356	0.1944872063
357	0.1942427729
358	0.1941070769
359	0.1939946986
360	0.1935680805
361	0.1934174311
362	0.1932495673
363	0.1930168863
364	0.1929023011
365	0.1927765641
366	0.1926631332
367	0.1926259107
368	0.1922614862
369	0.1918672545
370	0.1917488127
371	0.191605997
372	0.191465441
373	0.1912108378
374	0.1907571532
375	0.1905177262
376	0.1903152911
377	0.1901674758
378	0.1899550748
379	0.1898841171
380	0.1897638886
381	0.1895347191
382	0.1893795897
383	0.1892726436
384	0.189176217
385	0.1890569908
386	0.1889225466
387	0.1888261777
388	0.1886179386
389	0.1882733154
390	0.1877569109
391	0.1876769794
392	0.1876301948
393	0.1873588003
394	0.1869741603
395	0.186898755
396	0.1866782716
397	0.1865760893
398	0.1863427579
399	0.1860927128
400	0.1858122397
401	0.1856186216
402	0.1854982671
403	0.185341693
404	0.185167946
405	0.1850474504
406	0.184899931
407	0.1846303245
408	0.1845418807
409	0.184411362
410	0.1843053344
411	0.1842024142
412	0.1840659187
413	0.183991479
414	0.18386689
415	0.1836466864
416	0.1835652191
417	0.1833494101
418	0.1832795487
419	0.1831955471
420	0.1829865688
421	0.1827673408
422	0.1826884657
423	0.1826112591
424	0.18252886
425	0.1824540982
426	0.182374214
427	0.1822339371
428	0.1818928106
429	0.1816535128
430	0.1814921457
431	0.1813368077
432	0.1812472124
433	0.1811586972
434	0.1811239394
435	0.1809815306
436	0.1807308338
437	0.1804488673
438	0.1802375101
439	0.1797769136
440	0.1796251495
441	0.179451076
442	0.1792760834
443	0.1791833862
444	0.1791391577
445	0.1790725351
446	0.1789484881
447	0.1788004227
448	0.1785474897
