iter	Passed	Remaining
0	58	58235
1	59	29783
2	61	20305
3	62	15556
4	63	12724
5	65	10859
6	67	9534
7	69	8564
8	70	7777
9	72	7129
10	73	6614
11	75	6180
12	76	5834
13	78	5515
14	79	5250
15	81	5009
16	83	4818
17	85	4646
18	86	4477
19	88	4320
20	89	4175
21	91	4047
22	92	3932
23	93	3822
24	95	3727
25	96	3631
26	98	3541
27	99	3463
28	101	3394
29	103	3334
30	105	3282
31	106	3232
32	109	3205
33	111	3158
34	112	3107
35	114	3057
36	116	3026
37	118	2988
38	119	2954
39	121	2910
40	122	2873
41	124	2836
42	125	2803
43	127	2772
44	129	2743
45	130	2713
46	132	2691
47	134	2664
48	136	2640
49	137	2615
50	139	2591
51	141	2573
52	142	2553
53	144	2530
54	145	2508
55	147	2483
56	149	2475
57	151	2454
58	152	2432
59	154	2416
60	155	2398
61	157	2383
62	159	2376
63	161	2358
64	162	2340
65	164	2325
66	166	2320
67	168	2306
68	169	2286
69	171	2273
70	172	2259
71	174	2249
72	176	2236
73	177	2226
74	179	2218
75	181	2205
76	183	2195
77	184	2181
78	186	2169
79	187	2155
80	188	2142
81	190	2133
82	192	2122
83	193	2112
84	195	2106
85	197	2095
86	198	2083
87	200	2073
88	201	2061
89	202	2051
90	204	2044
91	206	2034
92	207	2024
93	209	2014
94	210	2007
95	212	2004
96	214	1997
97	216	1988
98	217	1978
99	219	1971
100	220	1963
101	221	1953
102	223	1944
103	224	1936
104	226	1931
105	228	1925
106	229	1919
107	231	1911
108	233	1905
109	235	1901
110	236	1896
111	238	1889
112	239	1882
113	241	1874
114	242	1869
115	244	1863
116	246	1856
117	247	1850
118	248	1843
119	251	1841
120	252	1835
121	254	1830
122	255	1824
123	257	1818
124	259	1814
125	260	1807
126	262	1801
127	263	1795
128	265	1792
129	267	1787
130	268	1782
131	270	1776
132	271	1772
133	273	1767
134	275	1762
135	276	1757
136	278	1752
137	279	1747
138	281	1741
139	282	1737
140	284	1732
141	285	1728
142	287	1723
143	289	1718
144	290	1713
145	292	1709
146	293	1703
147	295	1698
148	296	1694
149	298	1689
150	299	1686
151	301	1680
152	302	1675
153	304	1671
154	305	1667
155	307	1662
156	308	1657
157	310	1652
158	311	1646
159	312	1642
160	314	1637
161	315	1631
162	316	1626
163	318	1622
164	319	1616
165	321	1614
166	323	1611
167	324	1608
168	326	1605
169	328	1603
170	330	1603
171	332	1600
172	334	1596
173	335	1593
174	337	1589
175	338	1586
176	340	1581
177	341	1577
178	343	1574
179	344	1571
180	346	1568
181	348	1564
182	349	1561
183	351	1557
184	352	1553
185	354	1550
186	355	1547
187	357	1543
188	358	1539
189	360	1535
190	361	1531
191	363	1530
192	365	1526
193	366	1523
194	368	1520
195	369	1517
196	371	1513
197	372	1510
198	374	1506
199	375	1501
200	376	1498
201	378	1495
202	379	1491
203	381	1486
204	382	1483
205	384	1480
206	385	1477
207	387	1474
208	388	1471
209	390	1467
210	391	1464
211	392	1460
212	394	1457
213	395	1453
214	397	1450
215	398	1447
216	400	1444
217	401	1441
218	403	1437
219	404	1434
220	406	1431
221	407	1428
222	409	1426
223	410	1423
224	412	1419
225	413	1416
226	415	1413
227	416	1411
228	418	1407
229	419	1404
230	420	1400
231	422	1397
232	423	1394
233	425	1392
234	426	1389
235	428	1386
236	429	1384
237	431	1381
238	432	1378
239	434	1375
240	435	1372
241	437	1369
242	438	1366
243	439	1362
244	441	1360
245	442	1357
246	444	1354
247	445	1351
248	446	1348
249	448	1346
250	450	1343
251	451	1340
252	452	1337
253	454	1334
254	455	1331
255	457	1329
256	459	1328
257	460	1325
258	462	1322
259	463	1320
260	465	1317
261	467	1315
262	468	1312
263	469	1309
264	471	1306
265	472	1304
266	474	1301
267	475	1299
268	477	1296
269	478	1294
270	480	1291
271	481	1288
272	483	1286
273	484	1283
274	485	1280
275	486	1277
276	488	1275
277	490	1272
278	491	1270
279	492	1267
280	494	1264
281	495	1262
282	497	1259
283	499	1258
284	500	1255
285	502	1253
286	503	1251
287	505	1249
288	506	1246
289	508	1244
290	509	1241
291	511	1239
292	512	1236
293	514	1234
294	515	1231
295	516	1228
296	517	1225
297	519	1223
298	521	1221
299	522	1219
300	524	1217
301	525	1214
302	526	1212
303	528	1210
304	530	1209
305	531	1206
306	533	1204
307	535	1202
308	537	1201
309	538	1198
310	540	1197
311	542	1195
312	543	1193
313	545	1191
314	546	1189
315	548	1187
316	550	1185
317	551	1183
318	553	1181
319	555	1180
320	556	1177
321	558	1175
322	560	1174
323	561	1172
324	563	1170
325	565	1168
326	566	1166
327	568	1164
328	569	1162
329	571	1160
330	573	1158
331	574	1156
332	576	1154
333	577	1151
334	579	1149
335	580	1147
336	582	1145
337	583	1143
338	585	1141
339	586	1138
340	588	1136
341	589	1134
342	591	1132
343	592	1130
344	594	1128
345	595	1126
346	597	1124
347	598	1121
348	600	1119
349	601	1117
350	603	1116
351	605	1113
352	606	1111
353	608	1109
354	609	1107
355	610	1105
356	612	1103
357	613	1100
358	615	1098
359	616	1096
360	618	1095
361	619	1092
362	621	1090
363	622	1088
364	624	1086
365	625	1084
366	627	1081
367	628	1079
368	629	1077
369	631	1074
370	632	1072
371	634	1070
372	635	1068
373	636	1066
374	638	1063
375	639	1061
376	641	1059
377	642	1057
378	643	1055
379	645	1053
380	646	1050
381	648	1049
382	650	1047
383	651	1044
384	652	1042
385	654	1040
386	655	1038
387	657	1036
388	658	1034
389	659	1032
390	661	1030
391	662	1028
392	664	1026
393	666	1024
394	667	1022
395	668	1020
396	670	1017
397	671	1016
398	673	1014
399	674	1012
400	676	1010
401	677	1008
402	678	1005
403	680	1004
404	682	1002
405	683	1000
406	685	998
407	686	996
408	688	994
409	689	992
410	691	990
411	692	988
412	693	986
413	695	983
414	696	981
415	698	980
416	699	978
417	700	975
418	702	973
419	703	971
420	705	969
421	706	967
422	708	965
423	709	963
424	711	961
425	712	960
426	714	958
427	715	956
428	717	954
429	718	952
430	720	950
431	721	948
432	723	947
433	724	945
434	726	943
435	727	941
436	729	939
437	730	937
438	732	935
439	733	933
440	734	931
441	736	929
442	737	927
443	739	925
444	740	923
445	742	921
446	743	919
447	744	917
448	746	916
449	748	914
450	749	912
451	750	910
452	751	907
453	753	906
454	754	904
455	756	902
456	757	900
457	759	898
458	760	896
459	762	895
460	764	893
461	765	891
462	766	889
463	767	887
464	769	885
465	770	883
466	772	881
467	774	880
468	775	878
469	777	876
470	778	874
471	780	873
472	781	871
473	783	869
474	784	867
475	785	865
476	787	863
477	788	861
478	790	859
479	792	858
480	793	856
481	795	854
482	796	852
483	797	850
484	799	848
485	800	846
486	802	844
487	803	843
488	805	841
489	806	839
490	807	837
491	809	835
492	810	833
493	811	831
494	813	829
495	815	828
496	816	826
497	818	824
498	819	822
499	821	821
500	822	819
501	823	817
502	825	815
503	826	813
504	828	811
505	829	810
506	831	808
507	832	806
508	834	805
509	835	803
510	837	801
511	838	799
512	840	797
513	841	795
514	843	793
515	844	792
516	845	790
517	847	788
518	848	786
519	850	785
520	851	783
521	853	781
522	854	779
523	856	777
524	857	775
525	858	774
526	860	772
527	861	770
528	863	768
529	864	766
530	866	765
531	867	763
532	869	761
533	870	759
534	872	758
535	873	756
536	875	754
537	876	753
538	878	751
539	879	749
540	881	747
541	882	745
542	884	744
543	885	742
544	887	740
545	888	738
546	889	736
547	891	735
548	892	733
549	894	731
550	895	729
551	897	728
552	898	726
553	900	724
554	901	722
555	902	721
556	904	719
557	905	717
558	906	715
559	913	717
560	915	716
561	917	715
562	919	714
563	921	712
564	923	711
565	926	710
566	930	710
567	932	709
568	934	708
569	936	706
570	938	705
571	939	703
572	941	701
573	942	699
574	946	699
575	949	698
576	951	697
577	953	696
578	954	694
579	956	692
580	957	690
581	959	688
582	960	687
583	962	685
584	963	683
585	964	681
586	966	679
587	967	678
588	969	676
589	970	674
590	971	672
591	973	670
592	974	669
593	976	667
594	977	665
595	979	663
596	980	662
597	982	660
598	983	658
599	984	656
600	986	654
601	988	653
602	989	651
603	991	649
604	992	647
605	993	646
606	995	644
607	996	642
608	997	640
609	999	638
610	1000	636
611	1001	635
612	1002	633
613	1004	631
614	1005	629
615	1006	627
616	1008	625
617	1009	623
618	1010	622
619	1012	620
620	1013	618
621	1015	616
622	1016	615
623	1018	613
624	1019	611
625	1020	609
626	1022	608
627	1023	606
628	1024	604
629	1026	602
630	1027	600
631	1029	599
632	1030	597
633	1032	595
634	1033	594
635	1035	592
636	1036	590
637	1038	588
638	1039	587
639	1040	585
640	1041	583
641	1043	581
642	1044	580
643	1046	578
644	1048	576
645	1049	575
646	1050	573
647	1052	571
648	1053	569
649	1055	568
650	1056	566
651	1058	564
652	1059	562
653	1060	561
654	1061	559
655	1063	557
656	1064	555
657	1066	554
658	1067	552
659	1069	550
660	1070	548
661	1071	547
662	1073	545
663	1074	543
664	1076	542
665	1077	540
666	1078	538
667	1080	536
668	1081	535
669	1082	533
670	1084	531
671	1085	529
672	1086	528
673	1088	526
674	1089	524
675	1091	522
676	1092	521
677	1093	519
678	1094	517
679	1096	515
680	1097	514
681	1098	512
682	1100	510
683	1101	508
684	1102	507
685	1104	505
686	1105	503
687	1106	502
688	1108	500
689	1109	498
690	1111	497
691	1112	495
692	1114	493
693	1115	491
694	1116	490
695	1118	488
696	1119	486
697	1121	485
698	1122	483
699	1123	481
700	1125	479
701	1126	478
702	1127	476
703	1129	474
704	1130	472
705	1131	471
706	1133	469
707	1135	468
708	1136	466
709	1137	464
710	1139	462
711	1140	461
712	1141	459
713	1143	457
714	1144	456
715	1146	454
716	1147	452
717	1148	451
718	1150	449
719	1151	447
720	1152	446
721	1154	444
722	1155	442
723	1157	441
724	1158	439
725	1160	437
726	1161	436
727	1162	434
728	1164	432
729	1166	431
730	1167	429
731	1168	427
732	1170	426
733	1171	424
734	1172	422
735	1174	421
736	1175	419
737	1177	418
738	1178	416
739	1180	414
740	1181	412
741	1182	411
742	1184	409
743	1185	407
744	1186	406
745	1188	404
746	1189	402
747	1191	401
748	1192	399
749	1194	398
750	1195	396
751	1197	394
752	1198	393
753	1199	391
754	1201	389
755	1202	388
756	1203	386
757	1205	384
758	1206	383
759	1208	381
760	1209	379
761	1211	378
762	1212	376
763	1213	374
764	1215	373
765	1216	371
766	1217	369
767	1219	368
768	1220	366
769	1221	364
770	1223	363
771	1224	361
772	1225	360
773	1227	358
774	1228	356
775	1230	355
776	1231	353
777	1232	351
778	1234	350
779	1235	348
780	1237	346
781	1238	345
782	1239	343
783	1241	341
784	1242	340
785	1243	338
786	1245	336
787	1246	335
788	1248	333
789	1249	332
790	1250	330
791	1252	328
792	1253	327
793	1255	325
794	1256	324
795	1258	322
796	1259	320
797	1260	319
798	1262	317
799	1263	315
800	1265	314
801	1266	312
802	1268	311
803	1269	309
804	1271	307
805	1272	306
806	1273	304
807	1275	303
808	1277	301
809	1278	299
810	1279	298
811	1280	296
812	1283	295
813	1284	293
814	1285	291
815	1286	290
816	1288	288
817	1289	286
818	1290	285
819	1292	283
820	1293	282
821	1295	280
822	1296	278
823	1297	277
824	1299	275
825	1300	273
826	1302	272
827	1303	270
828	1305	269
829	1306	267
830	1308	266
831	1309	264
832	1310	262
833	1312	261
834	1313	259
835	1315	257
836	1316	256
837	1317	254
838	1319	253
839	1320	251
840	1322	249
841	1323	248
842	1324	246
843	1325	245
844	1327	243
845	1328	241
846	1329	240
847	1331	238
848	1332	237
849	1333	235
850	1335	233
851	1336	232
852	1338	230
853	1339	228
854	1340	227
855	1341	225
856	1343	224
857	1344	222
858	1345	220
859	1347	219
860	1348	217
861	1350	216
862	1351	214
863	1352	212
864	1354	211
865	1355	209
866	1356	208
867	1358	206
868	1359	204
869	1360	203
870	1361	201
871	1363	200
872	1365	198
873	1366	197
874	1368	195
875	1369	193
876	1370	192
877	1372	190
878	1373	189
879	1374	187
880	1376	185
881	1378	184
882	1379	182
883	1380	181
884	1382	179
885	1383	178
886	1384	176
887	1386	174
888	1387	173
889	1389	171
890	1390	170
891	1391	168
892	1393	166
893	1394	165
894	1395	163
895	1397	162
896	1398	160
897	1400	159
898	1401	157
899	1403	155
900	1404	154
901	1405	152
902	1407	151
903	1408	149
904	1409	147
905	1411	146
906	1412	144
907	1413	143
908	1415	141
909	1416	140
910	1417	138
911	1419	136
912	1420	135
913	1421	133
914	1423	132
915	1424	130
916	1426	129
917	1427	127
